period	month_1	month_2	month_3	month_4	month_5	month_6
1959:01	138.9	139.4	139.7	139.7	140.7	141.2
1959:07	141.7	141.9	141.0	140.5	140.4	140.0
1960:01	140.0	139.9	139.8	139.6	139.6	139.6
1960:07	140.2	141.3	141.2	140.9	140.9	140.7
1961:01	141.1	141.6	141.9	142.1	142.7	142.9
1961:07	142.9	143.5	143.8	144.1	144.8	145.2
1962:01	145.2	145.7	146.0	146.4	146.8	146.6
1962:07	146.5	146.6	146.3	146.7	147.3	147.8
1963:01	148.3	148.9	149.2	149.7	150.4	150.4
1963:07	151.3	151.8	152.0	152.6	153.7	153.3
1964:01	153.7	154.3	154.5	154.8	155.3	155.6
1964:07	156.8	157.8	158.8	159.2	160.0	160.3
1965:01	160.7	160.9	161.5	162.0	161.7	162.2
1965:07	163.1	163.7	164.9	166.0	166.7	167.9
1966:01	169.1	169.6	170.5	171.8	171.3	171.6
1966:07	170.3	170.8	172.0	171.2	171.4	172.0
1967:01	171.9	173.0	174.8	174.2	175.7	177.0
1967:07	178.1	179.7	180.7	181.6	182.4	183.3
1968:01	184.3	184.7	185.5	186.6	188.0	189.4
1968:07	190.5	191.8	192.7	194.0	196.0	197.4
1969:01	198.7	199.4	200.0	200.7	200.8	201.3
1969:07	201.7	201.7	202.1	202.9	203.6	203.9
1970:01	206.2	205.0	205.8	206.7	207.2	207.5
1970:07	208.0	209.9	211.8	212.9	213.7	214.4
1971:01	215.5	217.4	218.8	220.0	222.0	223.5
1971:07	224.9	225.6	226.5	227.2	227.8	228.3
1972:01	230.1	232.3	234.3	235.6	235.9	236.6
1972:07	238.8	240.9	243.2	245.0	246.4	249.3
1973:01	251.5	252.2	251.7	252.7	254.9	256.7
1973:07	257.5	257.8	257.9	259.0	261.0	262.9
1974:01	263.8	265.3	266.7	267.2	267.6	268.4
1974:07	269.3	270.1	271.1	272.4	273.7	274.2
1975:01	273.9	275.0	276.4	276.2	279.2	282.4
1975:07	283.7	284.2	285.7	285.4	286.8	287.1
1976:01	288.4	290.8	292.7	294.7	295.9	296.2
1976:07	297.2	299.1	299.7	302.0	303.6	306.3
1977:01	308.3	311.5	313.9	316.0	317.2	318.7
1977:07	320.2	322.3	324.5	326.4	328.6	330.9
1978:01	334.4	335.3	337.0	339.9	344.9	346.8
1978:07	347.6	349.7	352.3	353.4	355.4	357.3
1979:01	358.6	359.9	362.5	368.1	369.6	373.3
1979:07	377.2	378.8	379.3	380.9	380.8	381.8
1980:01	385.9	389.7	388.1	383.4	384.6	389.5
1980:07	394.9	400.1	405.4	409.1	410.4	408.1
1981:01	410.8	414.4	418.7	427.1	424.4	425.5
1981:07	427.9	427.9	427.5	428.5	430.9	436.2
1982:01	442.1	441.5	442.4	446.8	446.5	447.9
1982:07	449.1	452.5	457.5	464.6	471.1	474.3
1983:01	476.7	483.9	490.2	492.8	499.8	504.4
1983:07	509.0	511.6	513.4	517.2	518.5	520.8
1984:01	524.4	527.0	530.8	534.0	536.6	540.5
1984:07	542.1	542.4	543.9	543.9	547.3	551.2
1985:01	555.7	562.5	565.7	569.6	575.1	583.2
1985:07	590.8	598.1	604.5	607.9	611.8	619.4
1986:01	620.4	624.1	632.8	640.4	652.0	661.5
1986:07	672.2	680.8	688.5	695.3	705.2	724.3
1987:01	729.3	729.8	733.0	743.4	746.0	743.7
1987:07	745.0	747.0	748.7	756.5	752.8	749.7
1988:01	755.6	757.1	761.2	767.6	771.7	779.1
1988:07	783.4	785.1	784.8	783.6	784.5	786.3
1989:01	784.9	783.4	782.7	778.8	774.8	774.2
1989:07	779.7	781.1	782.2	787.1	788.0	792.6
1990:01	794.9	797.7	801.3	806.2	804.4	810.3
1990:07	811.8	817.9	821.8	820.3	822.1	824.6
1991:01	826.7	832.4	838.6	842.7	849.0	858.3
1991:07	863.0	868.7	871.6	878.4	888.0	896.7
1992:01	910.5	925.1	936.0	943.9	950.8	954.7
1992:07	964.6	975.7	988.8	1004.3	1016.0	1024.5
1993:01	1030.9	1033.2	1038.0	1047.5	1066.2	1075.6
1993:07	1085.9	1095.6	1105.4	1113.8	1123.9	1129.3
1994:01	1132.2	1136.1	1139.9	1141.4	1142.9	1145.7
1994:07	1151.5	1151.4	1152.4	1150.4	1150.4	1149.8
1995:01	1150.6	1146.7	1146.5	1149.5	1144.7	1144.2
1995:07	1146.5	1146.1	1142.3	1136.4	1133.6	1126.7
1996:01	1122.6	1117.5	1122.6	1124.5	1116.3	1115.5
1996:07	1112.3	1102.2	1095.6	1082.6	1080.5	1081.3
1997:01	1080.5	1076.2	1072.4	1067.5	1063.4	1066.0
1997:07	1067.6	1072.1	1064.8	1062.1	1067.5	1074.9
1998:01	1073.8	1076.0	1080.7	1082.1	1078.2	1077.8
1998:07	1075.4	1072.2	1074.7	1080.4	1089.0	1093.4
1999:01	1091.0	1092.7	1102.0	1108.4	1104.8	1101.1
1999:07	1099.5	1102.4	1093.5			
