year nominal_gdp real_gdp
1959 506.6 2441.3
1960 526.4 2501.8
1961 544.7 2560.0
1962 585.6 2715.2
1963 617.7 2834.0
1964 663.6 2998.6
1965 719.1 3191.1
1966 787.8 3399.1
1967 832.6 3484.6
1968 910.0 3652.7
1969 984.6 3765.4
1970 1038.5 3771.9
1971 1127.1 3898.6
1972 1238.3 4105.0
1973 1382.7 4341.5
1974 1500.0 4319.6
1975 1638.3 4311.2
1976 1825.3 4540.9
1977 2030.9 4750.5
1978 2294.7 5015.0
1979 2563.3 5173.4
1980 2789.5 5161.7
1981 3128.4 5291.7
1982 3255.0 5189.3
1983 3536.7 5423.8
1984 3933.2 5813.6
1985 4220.3 6053.7
1986 4462.8 6263.6
1987 4739.5 6475.1
1988 5103.8 6742.7
1989 5484.4 6981.4
1990 5803.1 7112.5
1991 5995.9 7100.5
1992 6337.7 7336.6
1993 6657.4 7532.7
1994 7072.2 7835.5
1995 7397.7 8031.7
1996 7816.9 8328.9
1997 8304.3 8703.5
1998 8747.0 9066.9
1999 9268.4 9470.3
2000 9817.0 9817.0
2001 10128.0 9890.7
2002 10469.6 10048.8
2003 10960.8 10301.0
2004 11712.5 10703.5
2005 12455.8 11048.6
