observation mi pib
1 128 1870
2 204 130
3 202 310
4 197 570
5 96 2050
6 209 200
7 170 670
8 240 300
9 241 120
10 55 290
11 75 1180
12 129 900
13 24 1730
14 165 1150
15 94 1160
16 96 1270
17 148 580
18 98 660
19 161 420
20 118 1080
21 269 290
22 189 270
23 126 560
24 12 4240
25 167 240
26 135 430
27 107 3020
28 72 1420
29 128 420
30 27 19830
31 152 420
32 224 530
33 142 8640
34 104 350
35 287 230
36 41 1620
37 312 190
38 77 2090
39 142 900
40 262 230
41 215 140
42 246 330
43 191 1010
44 182 300
45 37 1730
46 103 780
47 67 1300
48 143 930
49 83 690
50 223 200
51 240 450
52 312 280
53 12 4430
54 52 270
55 79 1340
56 61 670
57 168 410
58 28 4370
59 121 1310
60 115 1470
61 186 300
62 47 3630
63 178 220
64 142 560
