time_series_000;				  2019;		 2018;		 2017;		 2016; 		 2015; 		2014;		2013;		2012;
operational_revenue;			 12497;		12907;		12781;		13543;		12237;		8494;		7416; 		5996;
net_revenue;					 11347;		11685;		11600;		12300;		11122;		7725;		6734;		5385;
cogs;							  6265;	 	 5370;		 4898;		 5103;		 4468;		2659;		2187;		1502;	
gross_profit;					  4095;	 	 5443;		 5808;		 6306;		 5811; 		4675;		4185;  		3578;	 
operational_expenses;			  2081;	 	 1687;		 1430;		 1676;		 1423;		1238;		 969;		 783;
ebitda;							  3009;	 	 4636;		 5277;		 5535;		 5233;		3838;		3575;		3097;
net_profit;					 	  1786;	 	 3357;		 4264;		 4183;		 3651;		3228;		2680;		2332;
asset;						  91892254;	 81107735;   88347181;   30544070;   29977801;  18679674;   13310582;   10027508;
current_asset;				  77545367;  66468038;   71933612;   13743400;   12675854;  13681733;    9104461;    6298483;
long_term_asset;			  14346887;  14639697;   16413569;   16800670;   17301947;   4997941;	 4206121;    3729025;
current_liability;			  68402837;  57186167;   62597366;    7852780;    8063954;  10267544;    6363961;    4491890;	
long_term_liability;		  10349737;  10891294;   10388870;    9788300;   11749880;   4087730;    3614742;    3122457;    
equity;						  13139680;  13030274;   15360945;   12902990;   10163967;   4324400;    3331879;    2413161;
dividends_first_semester;		0,2614;    0,3901;     0,1668;	   0,2134;	   0,4486;    1,1684;	  1,2290;	  1,2089;
dividends_second_semester;		0,0027;	   0,5296;	   0,3692;	   0,1657;	   0,2183;	  0,6365;	  1,0073;     1,0950;

financial_vol_millions;		 683138000;	616661000;	613800000;	584900000;	548200000; 517600000;  448000000;  383000000;





