date,       local,                             zip_code, product,            volume_gm_ml,   	brand,     price
2020-06-17, dom_olivio,                        13209000, banana_prata,       1.895,             na,        8.51                   
2020-06-17, dom_olivio,                        13209000, laranja_pera,       1.175,             na,        3.16
2020-06-19, boa_vila_rami,                     13206305, manga_palmer,       1.050,             na,        7.30
2020-06-19, boa_vila_rami,                     13206305, uva_vermelha,       0.500,             na,        6.25
2020-08-09, boa_vila_rami,                     13206305, banana_prata,       1.235,             na,        5.55
2020-08-09, boa_vila_rami,                     13206305, couve_manteiga,     1,                 na,        5.45
2020-08-09, boa_vila_rami,                     13206305, coco_verde,         1,                 na,        3.78
2020-08-03, dom_olivio,                        13209000, laranja_pera,       1.600,             na,        4.46
2020-08-03, dom_olivio,                        13209000, maca_fuji,          0.785,             na,        8.47
2020-08-03, dom_olivio,                        13209000, manga_palmer,       1.330,             na,        11.69
2020-08-03, dom_olivio,                        13209000, abacaxi_perola,     2,                 na,        14.78
2020-08-03, dom_olivio,                        13209000, coco_verde,         2,                 na,        5.38
2020-08-23, boa_vila_rami,                     13206305, banana_prata,       2.620, 			na,        11.76
2020-08-23, boa_vila_rami,                     13206305, beterraba,          1.215,             na,        2.78
2020-08-19, boa_vila_rami,                     13206305, couve_manteiga,     1,                 na,        5.45
2020-08-19, boa_vila_rami,                     13206305, banana_prata,       0.940,             na,        4.22
2020-08-19, boa_vila_rami,                     13206305, abacaxi_perola,     1,                 na,        6.19
2020-08-19, boa_vila_rami,                     13206305, coco_verde,         1,                 na,        2.29
2020-08-14, dom_olivio,                        13209000, tomate_italiano,    1.575,             na,        6.91
2020-06-14, boa_vila_rami,                     13206305, banana_prata,       2.610,             na,        11.71
2020-06-14, boa_vila_rami,                     13206305, uva_branca,         1,                 na,        8.29
2020-09-03, boa_vila_rami,                     13206305, mandioquinha,       0.250,             na,        1.62
2020-07-19, boa_vila_rami,                     13206305, beterraba,          1.000,             na,        1.85
2020-07-19, boa_vila_rami,                     13206305, batata_monalisa,    1.285,             na,        2.94
2020-06-26, boa_vila_rami,                     13206305, banana_prata,       2.375,             na,        10.66
2020-06-26, boa_vila_rami,                     13206305, laranja_pera,       1.370,             na,        3.68
2020-09-03, covabra_malota,                    13211685, patinho_moido,      0.538,             na,        21.46
2020-09-03, covabra_malota,                    13211685, patinho_strogonoff, 0.488,             na,        21.91
2020-09-03, covabra_malota,                    13211685, file_de_frango,     0.722,             na,        13.64
2020-09-03, covabra_malota,                    13211685, contra_file_bife,   0.554,             na,        25.42
2020-09-03, covabra_malota,                    13211685, pimentao_verde,     0.600,             na,        5.39
2020-09-03, covabra_malota,                    13211685, pimentao_vermelho,  0.750,             na,        16.42
2020-09-03, covabra_malota,                    13211685, couve_manteiga,     1,                 na,        3.49
2020-09-03, covabra_malota,                    13211685, pimentao_amarelo,   0.580,             na,        13.28
2020-09-03, covabra_malota,                    13211685, cenoura,            0.950,             na,        3.79
2020-09-03, covabra_malota,                    13211685, tomate_carmem,      1.515,             na,        10.58
