company;class;symbol;economatica_classification;metric_name;31/03/2016;30/06/2016;30/09/2016;31/12/2016;31/03/2017;30/06/2017;30/09/2017;31/12/2017;31/03/2018;30/06/2018;30/09/2018;31/12/2018;31/03/2019;30/06/2019;30/09/2019;31/12/2019;31/03/2020;30/06/2020;30/09/2020
Aco Altona;PN;EALT4;steel_industry;net_revenue;37863;69114;89851;117687;30436;76830;121258;168407;57896;115516;183809;246961;87896;166826;232299;299194;59676;129072;188787
Aco Altona;PN;EALT4;steel_industry;cogs;27659;53880;74526;100019;24962;60604;94254;137902;44160;87776;140275;196304;70306;131942;181123;234512;46259;95476;140137
Aco Altona;PN;EALT4;steel_industry;investment;601;1008;1366;1482;1263;939;1755;1527;1935;776;1393;2106;5054;2304;2916;3150;2458;2821;13329
Aco Altona;PN;EALT4;steel_industry;ebitda;22414;16935;6210;12790;10088;19670;29770;57679;63190;0;0;30090;0;35327;39280;37245;33753;37032;36812
Aco Altona;PN;EALT4;steel_industry;net_cash_flow;6910;2964;3847;5570;1260;4708;2719;20228;769;0;46389;90821;7029;22047;33354;15517;4529;4867;24442
Aco Altona;PN;EALT4;steel_industry;operational_expenses;7149;17288;22500;14622;5058;11315;17054;17605;7626;16720;27705;30497;8446;18996;26834;37608;8052;18479;25049
Aco Altona;PN;EALT4;steel_industry;financial_expenses;2853;4527;6462;8519;1847;3579;5484;8340;1901;5323;8002;11824;3685;6585;9630;12681;3974;9076;12947
Aco Altona;PN;EALT4;steel_industry;financial_revenue;524;1275;1912;2483;1280;1963;2327;2994;944;2081;3740;3962;987;1957;3077;5059;1153;1945;13278
Aco Altona;PN;EALT4;steel_industry;short_term_loans;22226;24315;23591;29472;29281;28241;27650;49858;49391;50684;58304;55954;51193;47421;51363;60622;93474;87253;73249
Aco Altona;PN;EALT4;steel_industry;long_term_loans;18611;16109;17581;12686;9413;5409;3654;4592;3803;17909;19630;26254;25320;23645;30748;27026;27231;22924;44096
AES Tiete E;UNT N2;TIET11;electrical_energy;net_revenue;383152;795213;1197637;1561348;403166;802557;1261980;1728125;430111;892008;1456852;1923533;501010;996699;1521714;2049723;494396;969603;1478977
AES Tiete E;UNT N2;TIET11;electrical_energy;cogs;246845;455180;679599;916972;181288;408908;763441;1096521;235873;492462;918323;1188396;310722;660145;997718;1326653;259450;537317;814835
AES Tiete E;UNT N2;TIET11;electrical_energy;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45218
AES Tiete E;UNT N2;TIET11;electrical_energy;ebitda;0;0;0;805363;891496;865386;812520;842158;836901;892555;940238;1011184;1017188;972934;1019349;1036251;1084642;1135971;1193783
AES Tiete E;UNT N2;TIET11;electrical_energy;net_cash_flow;13088;173362;232198;136972;153997;127287;209557;225818;224569;115421;212121;84828;184338;82581;137066;179083;159902;208341;222362
AES Tiete E;UNT N2;TIET11;electrical_energy;operational_expenses;0;0;0;0;0;0;0;996;1277;2061;3045;4029;983;1967;5987;0;0;0;91
