company;class;symbol;economatica_classification;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
3r Petroleum;ON;RRRP3;oil_and_gas;-91,9;218.364;400.857;400.857;38,02;109.504
524 Particip;ON;QVQP3B;electrical_energy;-;164;164;164;-;228.361
Abc Brasil;PN;ABCB4;finance_and_securities;-;4.288.263;43.328.841;43.328.841;15,95;219.905
Aco Altona;PN;EALT4;steel_industry;9,8;179.500;441.746;441.746;4,94;22.500
Aerisenergia;ON;AERI3;industry_machines;38,2;966.252;2.370.629;2.370.629;10,81;766.213
AES Tiete E;UNT N2;TIET11;electrical_energy;4,6;1.842.458;10.034.488;10.034.488;16,07;1.995.532
Afluente T;ON;AFLT3;electrical_energy;29;187.459;207.783;207.783;9,35;63.085
Águas de Santa Teresina Saneameno Spe S/A;ON;25615 ON;other;-;102.849;838.525;838.525;-;12.988
Alef S/A;ON;ALEF3B;other;-;148;148;148;-;116.574
Alfa Consorc;PNE;BRGE11;other;-7,2;1.234.611;3.036.525;3.036.525;10;73.646
Alfa Financ;ON;CRIV3;finance_and_securities;-;976.738;5.537.678;5.537.678;5,62;102.653
Alfa Holding;ON;RPAD3;other;17,1;1.028.141;1.037.843;1.037.843;7,19;84.682
Alfa Invest;ON;BRIV3;finance_and_securities;-;1.528.350;17.112.941;17.112.941;10,9;88.532
Alianscsonae;ON;ALSO3;other;14,7;6.583.834;10.857.119;10.857.119;24,78;264.896
Aliperti;PN;APTI4;steel_industry;-;296.722;491.357;491.357;-;18
All Norte;ON;FRRN3B;transport_and_services;-;3.821.794;17.013.347;17.013.347;-;1.189.412
Alliar;ON;AALR3;other;40,9;1.176.682;2.553.054;2.553.054;9,47;118.288
Alpargatas;PN;ALPA4;textile;42,4;2.948.735;4.814.586;4.814.586;34,87;578.911
Alper S.A.;ON;APER3;finance_and_securities;65,6;179.079;294.549;294.549;43,43;11.480
Alphaville;ON;AVLL3;real_state;-6,2;192.794;2.068.127;2.068.127;22,15;22.393
Alupar;UNT N2;ALUP11;electrical_energy;9,3;5.501.732;20.829.411;20.829.411;24,3;879.111
Amazonia;ON;BAZA3;finance_and_securities;-;2.298.285;20.835.935;20.835.935;39,5;29.646
Ambev S/A;ON;ABEV3;food_and_beverages;10;73.815.628;125.196.579;125.196.579;14,17;15.734.915
Ambipar;ON;AMBP3;other;-;1.209.969;1.573.516;1.573.516;23,35;112.936
Ampla Energ;ON;CBEE3;electrical_energy;8,2;3.591.235;11.638.870;11.638.870;15;166.634
Anima;ON;ANIM3;other;20,5;1.656.826;3.702.603;3.702.603;9,73;397.299
Arezzo Co;ON;ARZZ3;textile;126,3;697.259;1.788.268;1.788.268;72,6;99.635
Atmasa;ON;ATMP3;other;-9,8;-75.534;1.552.556;1.552.556;3,35;24.668
Atompar;ON;ATOM3;telecom;7,2;16.474;26.163;26.163;3,96;20.898
Aura 360;ON;AURA33;mining;17,6;1.435.936;2.520.768;2.520.768;55,3;70.742
Azevedo;PN;AZEV4;real_state;-27,9;-263.291;61.710;61.710;3,4;19.800
Azul S.A.;PN;AZUL4;transport_and_services;100,8;-13.866.371;13.926.323;13.926.323;42,45;341.746
B2W Digital;ON;BTOW3;retail;98,3;9.535.268;19.080.482;19.080.482;85,27;559.633
B3;ON;B3SA3;finance_and_securities;21,6;24.976.774;45.378.408;45.378.408;54,83;2.041.670
Bahema;ON;BAHI3;other;48,3;84.210;520.677;520.677;75;2.254
Banco BMG;PN;BMGB4;finance_and_securities;-;4.061.736;25.123.248;25.123.248;4,9;587.882
Banco Inter;UNT;BIDI11;finance_and_securities;-;3.302.688;19.766.642;19.766.642;153,53;760.439
Banco Pan;PN;BPAN4;finance_and_securities;-;5.317.468;38.523.948;38.523.948;13,96;1.205.056
Banese;PN;BGIP4;finance_and_securities;-;497.842;7.049.526;7.049.526;23,91;15.285
Banestes;ON;BEES3;finance_and_securities;-;1.713.900;30.484.086;30.484.086;5,04;315.912
Banpara;ON;BPAR3;finance_and_securities;-;1.484.578;10.586.556;10.586.556;-;9.522
Banrisul;PNB;BRSR6;finance_and_securities;-;8.344.062;91.822.901;91.822.901;12,79;408.974
Bardella;PN;BDLL4;industry_machines;-7;-152.754;681.867;681.867;10,68;1.600
Battistella;ON;BTTL3;retail;7,1;19.104;162.051;162.051;9,8;14.860
Baumer;PN;BALM4;other;12,2;114.153;219.614;219.614;14,4;9.785
Bbmlogistica;ON;BBML3;transport_and_services;-;129.664;772.639;772.639;-;40.761
BBSeguridade;ON;BBSE3;finance_and_securities;-;6.389.605;10.900.296;10.900.296;25,92;1.996.635
Bemobi Tech;ON;BMOB3;software_and_data;-;155.342;455.545;455.545;25,19;90.909
Betapart;ON;BETP3B;finance_and_securities;-;795;795;795;-;2.762
Bic Monark;ON;BMKS3;vehicles;-;184.018;206.577;206.577;245;455
Biomm;ON;BIOM3;other;-44,3;108.621;348.183;348.183;14,89;67.716
Biosev;ON;BSEV3;other;4,2;-476.211;10.713.032;10.713.032;6,25;1.020.429
Bk Brasil;ON;BKBR3;other;-14,9;1.838.459;3.932.755;3.932.755;9,58;274.133
Boa Vista;ON;BOAS3;software_and_data;-;333.209;894.512;894.512;11;480.136
Bombril;PN;BOBR4;chemistry;6,5;-241.275;665.953;665.953;2,2;260.509
BR Brokers;ON;BBRK3;other;-1,5;158.829;293.735;293.735;1,94;77.735
BR Malls Par;ON;BRML3;other;-21,3;10.546.061;18.478.139;18.478.139;8,7;843.728
BR Propert;ON;BRPR3;other;14,3;7.279.603;10.654.156;10.654.156;8,36;482.812
Bradesco;PN;BBDC4;finance_and_securities;-;143.702.640;1.591.039.044;1.591.039.044;23,44;8.835.527
Bradespar;PN;BRAP4;other;17,1;12.012.028;12.370.788;12.370.788;63,69;348.034
Brasil;ON;BBAS3;finance_and_securities;-;124.567.652;1.725.671.888;1.725.671.888;29,5;2.853.242
Brasilagro;ON;AGRO3;agriculture;15,7;1.147.756;2.175.976;2.175.976;22,72;78.919
Braskem;PNA;BRKM5;chemistry;29,3;-4.464.666;86.148.752;86.148.752;31,71;795.994
BRB Banco;PN;BSLI4;finance_and_securities;-;1.977.936;25.374.422;25.374.422;-;363.040
BRF SA;ON;BRFS3;food_and_beverages;6,4;8.585.784;49.664.906;49.664.906;23,31;807.707
Brq;ON;BRQB3;software_and_data;-;102.858;275.948;275.948;-;132.764
Btgp Banco;UNT;BPAC11;finance_and_securities;-;26.680.655;253.266.798;253.266.798;102,24;2.796.040
Cabinda Part;ON;CABI3B;other;-;84;106;106;-;7.374
Caconde Part;ON;CACO3B;other;-;74;96;96;-;2.110
Cambuci;ON;CAMB3;textile;12,6;97.343;281.584;281.584;5;42.100
Camil;ON;CAML3;food_and_beverages;8,4;2.761.269;6.604.180;6.604.180;10,55;368.142
Carrefour BR;ON;CRFB3;retail;7,2;15.709.000;51.824.000;51.824.000;19,71;1.985.199
Casan;ON;CASN3;other;-;1.337.910;3.831.279;3.831.279;-;751.331
