company;class;symbol;economatica_classification;net_revenue_1;net_revenue_2;net_revenue_3;net_revenue_4;net_revenue_5;net_revenue_6;net_revenue_7;net_revenue_8;net_revenue_9;net_revenue_10;net_revenue_11;net_revenue_12;net_revenue_13;net_revenue_14;net_revenue_15;net_revenue_16;net_revenue_17;net_revenue_18;net_revenue_19;cogs_1;cogs_2;cogs_3;cogs_4;cogs_5;cogs_6;cogs_7;cogs_8;cogs_9;cogs_10;cogs_11;cogs_12;cogs_13;cogs_14;cogs_15;cogs_16;cogs_17;cogs_18;cogs_19;investment_1;investment_2;investment_3;investment_4;investment_5;investment_6;investment_7;investment_8;investment_9;investment_10;investment_11;investment_12;investment_13;investment_14;investment_15;investment_16;investment_17;investment_18;investment_19;ebitda_1;ebitda_2;ebitda_3;ebitda_4;ebitda_5;ebitda_6;ebitda_7;ebitda_8;ebitda_9;ebitda_10;ebitda_11;ebitda_12;ebitda_13;ebitda_14;ebitda_15;ebitda_16;ebitda_17;ebitda_18;ebitda_19;net_cash_flow_1;net_cash_flow_2;net_cash_flow_3;net_cash_flow_4;net_cash_flow_5;net_cash_flow_6;net_cash_flow_7;net_cash_flow_8;net_cash_flow_9;net_cash_flow_10;net_cash_flow_11;net_cash_flow_12;net_cash_flow_13;net_cash_flow_14;net_cash_flow_15;net_cash_flow_16;net_cash_flow_17;net_cash_flow_18;net_cash_flow_19;operational_expenses_1;operational_expenses_2;operational_expenses_3;operational_expenses_4;operational_expenses_5;operational_expenses_6;operational_expenses_7;operational_expenses_8;operational_expenses_9;operational_expenses_10;operational_expenses_11;operational_expenses_12;operational_expenses_13;operational_expenses_14;operational_expenses_15;operational_expenses_16;operational_expenses_17;operational_expenses_18;operational_expenses_19;financial_expenses_1;financial_expenses_2;financial_expenses_3;financial_expenses_4;financial_expenses_5;financial_expenses_6;financial_expenses_7;financial_expenses_8;financial_expenses_9;financial_expenses_10;financial_expenses_11;financial_expenses_12;financial_expenses_13;financial_expenses_14;financial_expenses_15;financial_expenses_16;financial_expenses_17;financial_expenses_18;financial_expenses_19;financial_revenue_1;financial_revenue_2;financial_revenue_3;financial_revenue_4;financial_revenue_5;financial_revenue_6;financial_revenue_7;financial_revenue_8;financial_revenue_9;financial_revenue_10;financial_revenue_11;financial_revenue_12;financial_revenue_13;financial_revenue_14;financial_revenue_15;financial_revenue_16;financial_revenue_17;financial_revenue_18;financial_revenue_19;short_term_loans_1;short_term_loans_2;short_term_loans_3;short_term_loans_4;short_term_loans_5;short_term_loans_6;short_term_loans_7;short_term_loans_8;short_term_loans_9;short_term_loans_10;short_term_loans_11;short_term_loans_12;short_term_loans_13;short_term_loans_14;short_term_loans_15;short_term_loans_16;short_term_loans_17;short_term_loans_18;short_term_loans_19;long_term_loans_1;long_term_loans_2;long_term_loans_3;long_term_loans_4;long_term_loans_5;long_term_loans_6;long_term_loans_7;long_term_loans_8;long_term_loans_9;long_term_loans_10;long_term_loans_11;long_term_loans_12;long_term_loans_13;long_term_loans_14;long_term_loans_15;long_term_loans_16;long_term_loans_17;long_term_loans_18;long_term_loans_19;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
3r Petroleum;ON;RRRP3;oil_and_gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32.400;8.200;17.252;27.556;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16.031;3.443;8.712;14.156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-8.048;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46.549;-49.179;-17.132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31.650;5.676;47.824;61.252;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19.377;27.394;32.948;37.067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.527;1.003;3.258;3.689;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-91,9;218.364;400.857;400.857;38,02;109.504
524 Particip;ON;QVQP3B;electrical_energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-136;-163;-108;-118;-117;-99;-155;-156;-190;-188;-141;-133;-141;-147;-142;-142;-130;-133;-131;-30;-23;-28;-22;-33;-25;-24;-24;-;-;-29;-16;-;-;-17;-17;-;-;-8;35;80;94;118;35;61;131;156;69;93;116;133;77;107;125;142;65;98;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;16;19;3;5;5;6;19;21;24;26;2;3;3;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;164;164;164;-;228.361
Abc Brasil;PN;ABCB4;finance_and_securities;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.288.263;43.328.841;43.328.841;15,95;219.905
Aco Altona;PN;EALT4;steel_industry;37.863;69.114;89.851;117.687;30.436;76.830;121.258;168.407;57.896;115.516;183.809;246.961;87.896;166.826;232.299;299.194;59.676;129.072;188.787;27.659;53.880;74.526;100.019;24.962;60.604;94.254;137.902;44.160;87.776;140.275;196.304;70.306;131.942;181.123;234.512;46.259;95.476;140.137;601;1.008;1.366;1.482;1.263;939;1.755;1.527;1.935;776;1.393;2.106;5.054;2.304;2.916;3.150;2.458;2.821;13.329;22.414;16.935;6.210;12.790;10.088;19.670;29.770;57.679;63.190;-;-;30.090;-;35.327;39.280;37.245;33.753;37.032;36.812;6.910;2.964;3.847;-5.570;1.260;4.708;2.719;-20.228;769;-;-46.389;90.821;7.029;-22.047;33.354;-15.517;4.529;4.867;24.442;7.149;17.288;22.500;14.622;5.058;11.315;17.054;-17.605;7.626;16.720;27.705;30.497;8.446;18.996;26.834;37.608;8.052;18.479;25.049;2.853;4.527;6.462;8.519;1.847;3.579;5.484;8.340;1.901;5.323;8.002;11.824;3.685;6.585;9.630;12.681;3.974;9.076;12.947;524;1.275;1.912;2.483;1.280;1.963;2.327;2.994;944;2.081;3.740;3.962;987;1.957;3.077;5.059;1.153;1.945;13.278;22.226;24.315;23.591;29.472;29.281;28.241;27.650;49.858;49.391;50.684;58.304;55.954;51.193;47.421;51.363;60.622;93.474;87.253;73.249;18.611;16.109;17.581;12.686;9.413;5.409;3.654;4.592;3.803;17.909;19.630;26.254;25.320;23.645;30.748;27.026;27.231;22.924;44.096;9,8;179.500;441.746;441.746;4,94;22.500
Aerisenergia;ON;AERI3;industry_machines;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;834.259;288.924;752.955;1.458.778;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;686.132;256.541;661.393;1.275.759;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148.232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-232.470;-58.618;-150.783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12.733;3.380;14.879;22.405;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91.231;48.921;99.041;146.995;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59.522;39.611;70.628;101.154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184.650;355.028;449.159;546.849;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;191.827;266.393;376.778;529.777;38,2;966.252;2.370.629;2.370.629;10,81;766.213
AES Tiete E;UNT N2;TIET11;electrical_energy;383.152;795.213;1.197.637;1.561.348;403.166;802.557;1.261.980;1.728.125;430.111;892.008;1.456.852;1.923.533;501.010;996.699;1.521.714;2.049.723;494.396;969.603;1.478.977;246.845;455.180;679.599;916.972;181.288;408.908;763.441;1.096.521;235.873;492.462;918.323;1.188.396;310.722;660.145;997.718;1.326.653;259.450;537.317;814.835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.218;-;-;-;805.363;891.496;865.386;812.520;842.158;836.901;892.555;940.238;1.011.184;1.017.188;972.934;1.019.349;1.036.251;1.084.642;1.135.971;1.193.783;-13.088;173.362;232.198;136.972;153.997;127.287;209.557;225.818;224.569;115.421;-212.121;84.828;184.338;82.581;137.066;179.083;159.902;208.341;222.362;0;0;0;0;0;0;0;996;1.277;2.061;3.045;4.029;983;1.967;5.987;0;0;0;-91;47.464;117.135;171.586;223.269;51.228;101.848;182.754;295.271;121.490;222.170;340.504;421.919;108.722;230.639;322.030;439.805;133.052;184.555;380.741;24.048;45.931;70.685;87.469;19.500;39.006;69.568;91.435;25.802;57.299;87.698;106.825;18.380;40.838;67.226;84.734;14.521;29.565;41.039;183.461;326.176;352.737;255.776;376.773;918.461;1.036.192;1.014.376;113.699;108.887;139.464;120.927;650.038;78.112;70.523;461.804;442.811;957.923;965.885;1.239.109;1.080.387;1.085.794;1.190.794;1.098.185;1.494.596;2.567.757;2.575.245;3.812.632;3.999.013;4.004.921;4.007.001;3.510.068;4.144.342;4.154.241;3.793.141;3.816.623;3.780.244;3.800.253;4,6;1.842.458;10.034.488;10.034.488;16,07;1.995.532
Afluente T;ON;AFLT3;electrical_energy;6.398;13.365;21.551;31.353;7.863;12.336;17.864;23.646;5.793;13.125;20.750;33.684;8.847;17.448;28.050;38.621;8.952;17.283;26.922;3.307;6.670;9.817;14.175;2.240;4.400;7.106;10.425;2.328;5.434;7.433;10.028;2.017;4.439;6.342;13.006;2.723;5.079;6.618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.040;9.022;12.789;16.399;19.016;17.447;15.392;12.666;10.374;12.298;14.957;22.903;26.116;-;-;24.961;-;-;-;4.512;-6.899;18.362;-19.150;-367;10.693;4.960;4.579;6.462;4.772;6.749;6.387;7.286;-;-;-;6.207;6.454;7.239;202;268;477;779;117;461;508;555;254;586;776;753;405;593;746;654;323;1.194;2.091;139;238;382;616;107;209;292;351;47;107;173;230;53;132;181;192;57;101;145;1.386;2.776;4.182;5.454;1.318;1.895;2.333;2.629;336;702;1.145;1.632;548;1.165;1.898;2.585;588;1.029;1.305;660;709;735;735;735;733;733;733;733;732;731;731;731;730;642;511;379;247;203;3.244;3.063;2.881;2.699;2.516;2.335;2.154;1.972;1.790;1.608;1.427;1.245;1.062;881;787;737;686;636;586;29;187.459;207.783;207.783;9,35;63.085
Águas de Santa Teresina Saneameno Spe S/A;ON;25615 ON;other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;361.154;84.409;165.081;254.784;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201.496;47.290;87.987;130.478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62.578;16.017;29.699;42.393;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38.668;6.007;9.106;15.627;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16.162;3.625;4.515;6.652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319.095;121.997;224.963;227.654;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;189.153;191.469;391.225;-;102.849;838.525;838.525;-;12.988
Alef S/A;ON;ALEF3B;other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98;-110;-103;-103;-102;-91;-109;-111;-153;-152;-138;-137;-142;-148;-149;-142;-152;-134;-131;-31;-17;-30;-22;-29;-24;-30;-23;-54;-40;-16;-24;-74;-29;-17;-17;-77;-19;-15;31;67;80;103;29;55;87;111;72;96;113;137;77;107;125;142;87;99;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;5;1;3;5;5;1;2;3;3;1;3;5;6;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;148;148;148;-;116.574
Alfa Consorc;PNE;BRGE11;other;7.670;15.892;23.953;30.556;5.314;11.896;18.435;25.294;6.946;12.653;19.235;26.000;6.561;13.880;21.025;28.762;7.068;22.257;22.050;24.871;46.123;67.738;89.251;22.137;44.540;67.829;91.210;22.075;42.985;64.290;86.636;21.543;44.732;68.356;93.286;25.755;51.678;76.041;884.463;891.416;908.903;918.960;926.533;932.430;935.681;945.308;957.866;957.948;967.127;982.901;994.457;1.001.497;1.017.288;1.025.858;1.037.114;1.045.773;1.086.788;16.742;18.436;15.566;9.055;160;-4.602;-15.979;-5.422;6.113;10.915;20.218;16.786;18.639;14.605;15.096;14.651;901;-98.835;40.966;11.371;43.680;44.144;-66.925;49.273;16.649;31.454;36.343;27.937;8.260;11.163;23.016;27.187;4.339;16.569;50.812;-213.266;306.403;-278.122;-18.457;-33.156;-51.318;-66.915;-9.149;-21.838;-31.795;-59.563;-18.883;-35.646;-52.763;-76.051;-20.598;-34.006;-53.376;-77.811;-10.527;80.984;-86.344;41.311;80.260;122.290;167.615;41.637;72.506;106.373;128.744;23.955;40.200;60.800;90.036;22.599;44.504;60.883;85.934;59.257;112.163;121.560;66.394;132.078;202.541;282.292;68.271;126.044;185.638;243.903;47.574;92.026;145.486;190.777;41.872;81.380;122.014;166.088;88.298;270.480;156.208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,2;1.234.611;3.036.525;3.036.525;10;73.646
