advertising consumo ratio
87957 13599 0.006468
23578 4699 0.005018
16345 5473 0.002986
6550 6119 0.001070
10230 8811 0.001161
9127 1142 0.007992
1675 143 0.011713
1110 138 0.008043
3351 85 0.039424
1140 108 0.010556
6376 307 0.020769
4500 1545 0.002913
1899 943 0.002014
10101 369 0.027374
3831 285 0.013442
99528 1052 0.094608
15855 862 0.018393
8827 84 0.105083
54517 1174 0.046437
49593 2531 0.019594
39664 408 0.097216
327 295 0.001108
22549 488 0.046207
41642 1920 0.021689
14212 94 0.151191
54174 5320 0.010183
20218 357 0.056633
11041 159 0.069440
22542 244 0.092385
