county;          cellphone;   pc;           per_capita_income
argentina;       17,76;        8,20;           11410
australia;       71,95;       60,18;           28780
belgium;         79,28;       31,81;           28920
brazil;          63,62;       84,70;            7510
bulgary;         46,64;        5,19;            7540
canada;          41,90;       48,70;           30040
china;           84,12;       67,20;            4980
colombia;        14,13;        4,93;            6410
equator;         18,92;        3,24;            3940
egypt;           54,80;       19,20;            3940
france;           5,96;       17,43;           27640
germany;         78,52;       48,47;           27610
greece;          90,23;        8,17;           19900
guatemala;       13,15;        1,44;            4090
hungary;         76,88;       10,84;           13840
india;           74,20;       27,00;            2880
indonesia;        8,74;        1,19;            3210
italy;           67,10;       70,32;           26830
japan;            9,76;       22,83;           28450
mexico;          29,47;        8,30;            8980
netherlands;     76,76;       46,66;           28560
paquistan;       57,10;       24,00;            2040 
poland;          45,09;       14,20;           11210
russia;          39,42;       78,80;            8950
south_africa;    36,36;        7,26;           10130
spain;           16,19;        6,91;           22150
sweden;          98,05;       62,13;           26710
switzerland;     84,34;       70,87;           32220
uk;              71,19;       75,04;           27690
us;              85,45;       89,56;           37750
venezuela;       27,30;        6,09;            4750
