obs wage expense
1 19.583 3346
2 20.263 3114
3 20.325 3554
4 26.800 4642
5 29.470 4669
6 26.610 4888
7 30.678 5710
8 27.170 5536
9 25.853 4168
10 24.500 3547 
11 24.274 3159 
12 27.170 3621 
13 30.168 3782 
14 26.525 4247 
15 27.360 3982 
16 21.690 3568 
17 21.974 3155 
18 20.816 3059 
19 18.095 2967 
20 20.939 3285 
21 22.644 3914 
22 24.624 4517 
23 27.186 4349 
24 33.990 5020 
25 23.382 3594 
26 20.627 2821
27 22.795 3366
28 21.570 2920
29 22.080 2980
30 22.250 3731
31 20.940 2853
32 21.800 2533
33 22.934 2729
34 18.443 2305
35 19.538 2642
36 20.460 3124
37 21.419 2752
38 25.160 3429
39 22.482 3947
40 20.969 2509
41 27.224 5440
42 25.892 4042
43 22.644 3402
44 24.640 2829
45 22.341 2297
46 25.610 2932
47 26.015 3705
48 25.788 4123
49 29.132 3608
50 41.480 8349
51 25.845 3766
