year;   y;      x2;   x3;   x4;     x5    
1;      11484;  2.26; 3.49; 158.11; 1
2;       9348;  2.54; 2.85; 173.36; 2
3;       8429;  3.07; 4.06; 165.26; 3
4;      10079;  2.91; 3.64; 172.92; 4
5;       9240;  2.73; 3.21; 178.46; 5
6;       8862;  2.77; 3.66; 198.62; 6
7;       6216;  3.59; 3.76; 186.28; 7
8;       8253;  3.23; 3.49; 188.98; 8
9;       8038;  2.60; 3.13; 180.49; 9
10;      7476;  2.89; 3.20; 183.33; 10
11;      5911;  3.77; 3.65; 181.87; 11
12;      7950;  3.64; 3.60; 185.00; 12
13;      6134;  2.82; 2.94; 184.00; 13
14;      5868;  2.96; 3.12; 188.20; 14
15;      3160;  4.24; 3.58; 175.67; 15
16;      5872;  3.69; 3.53; 188.00; 16
